feature,weight
intercept,-2.8815882018654864
age,0.35840067460913655
fnlwgt,0.04355566020949552
education_num,0.7343643119073737
sex,0.3879446241369731
capital_gain,2.418126576413708
capital_loss,0.259961499308944
hours_per_week,0.3271420303477512
native_country,0.046988773302739005
workclass_,-0.25993446086454836
workclass_Federal-gov,0.7302136838715446
workclass_Local-gov,-0.019762569894745435
workclass_Never-worked,-0.011736429566682399
workclass_Private,0.19656878092700097
workclass_Self-emp-inc,0.39768921799370277
workclass_Self-emp-not-inc,-0.3448485187575232
workclass_State-gov,-0.09275374375622726
workclass_Without-pay,-0.6169274445544619
education_10th,0.21525479161280323
education_11th,-0.2774565211650302
education_12th,0.10776419248587892
education_1st-4th,0.6119377490428433
education_5th-6th,0.34377601982738853
education_7th-8th,0.158255472597766
education_9th,0.18336619507488322
education_Assoc-acdm,-0.3914791596692072
education_Assoc-voc,-0.05681426340153518
education_Bachelors,-0.031435089543734286
education_Doctorate,0.08661606311405942
education_HS-grad,-0.0652538357297475
education_Masters,0.027614210933916132
education_Preschool,-1.1514654958934354
education_Prof-school,0.23508100682795538
education_Some-college,-0.017252820716731353
marital_status_Divorced,-0.4608554578908276
marital_status_Married-AF-spouse,1.2104004303372633
marital_status_Married-civ-spouse,1.5385320480373392
marital_status_Married-spouse-absent,-0.3973097779168193
marital_status_Never-married,-0.9505122509102809
marital_status_Separated,-0.5046783058164682
marital_status_Widowed,-0.45706817044213116
occupation_,-0.271670890431225
occupation_Adm-clerical,0.2012477901297803
occupation_Armed-Forces,-0.32604293034551096
occupation_Craft-repair,0.21118977126008112
occupation_Exec-managerial,0.9002473955810777
occupation_Farming-fishing,-0.7564432012961227
occupation_Handlers-cleaners,-0.6360840811630764
occupation_Machine-op-inspct,-0.11916580717025933
occupation_Other-service,-0.6330897415049742
occupation_Priv-house-serv,-1.297710269196383
occupation_Prof-specialty,0.654051110487807
occupation_Protective-serv,0.7886590694757006
occupation_Sales,0.4176086853788617
occupation_Tech-support,0.766239762494653
occupation_Transport-moving,0.07947185169769527
relationship_Husband,-0.05147905193236226
relationship_Not-in-family,0.30455459804948354
relationship_Other-relative,-0.7092202969852782
relationship_Own-child,-0.8530519756609158
relationship_Unmarried,0.07520247474957976
relationship_Wife,1.212502767177572
race_Amer-Indian-Eskimo,-0.1736776417726945
race_Asian-Pac-Islander,0.1748388163983571
race_Black,0.17546754200298056
race_Other,-0.5240686677166906
race_White,0.3259484664861091
