feature,shap_importance
marital_status_Married-civ-spouse,1.1678329706192017
age,0.7597708702087402
education_num,0.4870993494987488
capital_gain,0.4642532467842102
hours_per_week,0.37253281474113464
capital_loss,0.1572752445936203
sex,0.13902798295021057
occupation_Exec-managerial,0.12538647651672363
fnlwgt,0.11719372123479843
occupation_Prof-specialty,0.1109917014837265
relationship_Own-child,0.1049366444349289
marital_status_Never-married,0.09686428308486938
occupation_Other-service,0.09479232877492905
relationship_Wife,0.07555738091468811
workclass_Self-emp-not-inc,0.04829821363091469
occupation_Machine-op-inspct,0.04601960629224777
occupation_Farming-fishing,0.04534660652279854
occupation_Sales,0.041294511407613754
occupation_Handlers-cleaners,0.03283236175775528
relationship_Unmarried,0.0290551595389843
relationship_Other-relative,0.026504233479499817
workclass_Local-gov,0.02632295712828636
race_White,0.02623513713479042
relationship_Not-in-family,0.025341015309095383
native_country,0.02450791746377945
occupation_Protective-serv,0.023877693340182304
workclass_Federal-gov,0.022794924676418304
occupation_,0.022355061024427414
occupation_Tech-support,0.0210516769438982
occupation_Adm-clerical,0.0190585907548666
workclass_Private,0.01394166424870491
workclass_Self-emp-inc,0.013883455656468868
marital_status_Widowed,0.01385368313640356
education_Some-college,0.012718604877591133
marital_status_Divorced,0.01151364203542471
occupation_Transport-moving,0.010687774047255516
education_Bachelors,0.00960842240601778
workclass_,0.009536109864711761
relationship_Husband,0.009224239736795425
occupation_Craft-repair,0.008340715430676937
workclass_State-gov,0.007184437941759825
race_Black,0.007182133384048939
occupation_Priv-house-serv,0.006392685230821371
education_HS-grad,0.005854899063706398
education_Prof-school,0.0056723253801465034
race_Other,0.005568447057157755
education_Assoc-acdm,0.005234976764768362
education_Assoc-voc,0.0050923884846270084
race_Amer-Indian-Eskimo,0.0050874752923846245
education_Masters,0.004861865192651749
race_Asian-Pac-Islander,0.004014061763882637
education_11th,0.0037161812651902437
marital_status_Separated,0.0030722059309482574
education_10th,0.002769903279840946
marital_status_Married-AF-spouse,0.002043785061687231
education_7th-8th,0.0005830308655276895
education_12th,0.0005680120666511357
education_9th,0.00017955149814952165
marital_status_Married-spouse-absent,9.63441634667106e-05
workclass_Never-worked,0.0
workclass_Without-pay,0.0
occupation_Armed-Forces,0.0
education_1st-4th,0.0
education_5th-6th,0.0
education_Preschool,0.0
education_Doctorate,0.0
