feature,weight
intercept,-1.401829333666407
age,-0.031240012053546054
default_payment,0.011318166729338733
balance,0.08686153147617996
housing,-0.3747358313689634
loan,-0.15676426654100725
day,-0.005126926358303228
duration,1.0701814789316488
campaign,-0.3399798398663221
pdays,0.038629657352151466
previous,0.06620908546632147
job_admin.,0.22326833436323873
job_blue-collar,-0.06466976340454278
job_entrepreneur,-0.16351608580466043
job_housemaid,-0.3138762898602177
job_management,-0.08342958378580008
job_other,-0.46653008618197334
job_retired,0.5108862966260905
job_self-employed,-0.12590279452433295
job_services,0.003927370883898548
job_student,0.5014992991460162
job_technician,-0.04052431293132486
job_unemployed,0.012628271434345419
marital_divorced,0.06132874590770106
marital_married,-0.2082669249395656
marital_single,0.14069883499259064
education_primary,-0.19817806263159027
education_secondary,-0.027913609201524643
education_tertiary,0.2198523277938686
month_apr,0.1175384193808914
month_aug,-0.6233850160898312
month_dec,0.6112993183812627
month_feb,-0.0660857505841535
month_jan,-0.9999165281947023
month_jul,-0.7227711183925565
month_jun,-0.514845860117611
month_mar,1.651582606035148
month_may,-0.912713001222848
month_nov,-0.7042961482063358
month_oct,1.0179551514938292
month_sep,1.139398583477636
poutcome_failure,-0.7520369345794236
poutcome_success,1.6041915502123048
poutcome_unknown,-0.8583939596721973
